word	rank	flags	current_breakdown
individual	841	stray,unknown	in·di·vid·u·al
effects	976	stray	ef·fect·s
contents	1030	stray	con·tent·s
administration	1040	stray,unknown	ad·min·ist·r·ation
registration	1180	stray,unknown	reg·ist·r·ation
programming	1640	stray,unknown	pro·gram·min·g
continued	2006	stray,unknown	con·tin·u·ed
surgery	2024	stray,unknown	sur·ge·r·y
administrative	2105	stray,unknown	ad·min·ist·r·ative
gene	2348	stray	gen·e
dedicated	2369	stray,unknown	de·dic·ate·d
promote	2405	stray	pro·mot·e
decided	2413	stray,unknown	de·cide·d
credits	2461	stray	credit·s
eligible	2512	stray	e·lig·ible
editorial	2550	stray,unknown	e·di·tor·i·al
provisions	2555	stray	pro·vis·ion·s
combined	2666	stray,unknown	com·bi·n·ed
singles	2695	stray,unknown	sing·l·es
administrator	2696	stray,unknown	ad·min·ist·r·ator
signature	2881	stray,unknown	sign·a·ture
specs	2979	stray	spec·s
evolution	3012	stray	e·volut·ion
continuing	3034	stray,unknown	con·tin·u·ing
audience	3130	stray,unknown	aud·i·ence
proceedings	3161	stray	pro·ceed·ing·s
financing	3309	stray,unknown	fin·an·c·ing
specialty	3318	stray,unknown	spec·i·al·ty
legs	3384	stray	leg·s
continuous	3449	stray,unknown	con·tin·u·ous
disability	3458	stray,unknown	dis·a·bi·l·ity
examination	3466	stray	ex·a·min·ation
committed	3480	stray,unknown	com·mit·t·ed
eating	3491	stray	e·a·ting
findings	3589	stray,unknown	fin·d·ing·s
sufficient	3613	stray,unknown	suf·fic·i·ent
asking	3701	stray	a·sk·ing
marks	3720	stray,unknown	mar·k·s
intellectual	3739	stray,unknown	intel·lect·u·al
accessibility	3823	stray,unknown	ac·cess·i·bi·l·ity
editing	3835	stray	e·di·ting
logos	3919	stray,unknown	log·o·s
philippines	3930	stray,lowconf,unknown	phil·ipp·ine·s
eventually	4024	stray,unknown	e·vent·u·al·ly
pants	4197	stray	pant·s
diagnosis	4221	stray,unknown	dia·gnos·i·s
incorporated	4238	stray,unknown	in·corpor·ate·d
elected	4274	stray	e·lect·ed
genetic	4343	stray,unknown	gene·t·ic
necessarily	4385	stray,unknown	ne·cess·ar·i·ly
spectrum	4482	stray,unknown	spect·r·um
eligibility	4511	stray,unknown	e·lig·i·bi·l·ity
expanded	4831	stray,unknown	ex·pan·d·ed
capability	4941	stray,unknown	cap·a·bi·l·ity
marc	5010	stray,unknown	mar·c
introduce	5049	stray	intro·duc·e
grounds	5086	stray,lowconf,unknown	gro·und·s
analog	5166	stray	an·a·log
facial	5167	stray,unknown	fac·i·al
flexibility	5171	stray,unknown	flex·i·bi·l·ity
judicial	5289	stray,unknown	judic·i·al
binary	5307	stray,unknown	bi·n·ary
genetics	5308	stray,unknown	gene·t·ic·s
podcast	5391	stray,lowconf,unknown	pod·ca·s·t
suppose	5415	stray	sup·pos·e
opposite	5424	stray	op·posit·e
diagnostic	5758	stray,unknown	dia·gnos·t·ic
confidential	5767	stray,unknown	con·fid·ent·i·al
judges	5774	stray	jud·ge·s
astronomy	5838	stray	astro·nom·y
pantyhose	5969	stray,unknown	pant·y·ho·s·e
logistics	6173	stray	log·ist·ic·s
transmitted	6209	stray,unknown	trans·mit·t·ed
consolidated	6374	stray,unknown	con·sol·id·ate·d
composite	6413	stray	com·posit·e
fingering	6428	stray,unknown	fin·ge·r·ing
isolated	6461	stray,unknown	i·sol·ate·d
sacred	6509	stray,unknown	sac·r·ed
seating	6576	stray	se·a·ting
provincial	6617	stray,unknown	pro·vinc·i·al
logging	6706	stray,unknown	log·g·ing
spirits	6798	stray,lowconf,unknown	spir·it·s
acquire	6809	stray	ac·quir·e
assuming	6973	stray,unknown	as·su·min·g
monetary	6974	stray	mon·e·tar·y
complicated	7036	stray,unknown	com·plic·ate·d
enquiry	7167	stray	en·quir·y
accompanied	7229	stray,unknown	ac·com·pan·i·ed
distinguished	7424	stray,unknown	dis·ting·u·ish·ed
anticipated	7436	stray,unknown	anti·cip·ate·d
genome	7457	stray	ge·nom·e
subcommittee	7498	stray,unknown	sub·com·mit·t·ee
maternity	7502	stray,unknown	mater·n·ity
proceeds	7516	stray	pro·ceed·s
surfing	7540	stray,unknown	sur·fin·g
officially	7610	stray,unknown	of·fic·i·al·ly
alignment	7667	stray,unknown	a·lig·n·ment
visibility	7683	stray,unknown	vis·i·bi·l·ity
attempted	7704	stray,unknown	at·temp·t·ed
zoning	7795	stray,unknown	zo·n·ing
beneficial	7882	stray,unknown	bene·fic·i·al
individually	7918	stray,unknown	in·di·vid·u·al·ly
ascii	7937	stray,unknown	a·sci·i
dietary	8030	stray	di·e·tar·y
sustainability	8146	stray,unknown	sus·tain·a·bi·l·ity
combining	8239	stray,unknown	com·bi·n·ing
finances	8307	stray	fin·ance·s
conclude	8647	stray	con·clud·e
recognised	8648	stray	re·cogni·s·ed
tactics	8664	stray	tact·ic·s
coating	8808	stray	co·a·ting
aquatic	8849	stray,unknown	aqua·t·ic
marking	9179	stray,unknown	mar·k·ing
elect	9192	stray	e·lect
accompanying	9268	stray	ac·com·pan·y·ing
sacrifice	9279	stray,lowconf,unknown	sac·rif·ic·e
convergence	9284	stray,unknown	con·ver·g·ence
educated	9301	stray,unknown	e·duc·ate·d
continuously	9348	stray,unknown	con·tin·u·ous·ly
introductory	9397	stray	intro·duc·tor·y
graduated	9453	stray,unknown	grad·u·ate·d
align	9492	stray,unknown	a·lig·n
confidentiality	9501	stray,unknown	con·fid·ent·i·al·ity
electoral	9502	stray	e·lect·or·al
locking	9517	stray,unknown	loc·k·ing
temporarily	9611	stray,unknown	tempor·ar·i·ly
impose	9780	stray	im·pos·e
sympathy	9860	stray	sym·path·y
reproduce	9892	stray	re·pro·duc·e
sufficiently	9924	stray,unknown	suf·fic·i·ent·ly
conceptual	9937	stray,unknown	con·cept·u·al
judiciary	10013	stray,unknown	judic·i·ary
consuming	10037	stray,unknown	con·su·min·g
marino	10065	stray,unknown	marin·o
unofficial	10112	stray,unknown	un·of·fic·i·al
compelling	10179	stray,unknown	com·pel·l·ing
concentrated	10267	stray,unknown	con·centr·ate·d
pathway	10279	stray,lowconf,unknown	path·wa·y
receipts	10317	stray	re·ceipt·s
prejudice	10455	stray	pre·judic·e
evolutionary	10467	stray	e·volut·ion·ary
suv	10537	stray,lowconf,unknown	su·v
electronically	10659	stray,unknown	e·lect·ron·ical·ly
dentistry	10777	stray,unknown	dent·ist·r·y
continuation	10842	stray,unknown	con·tin·u·ation
epidemiology	10889	stray,unknown	epi·dem·i·ology
dominica	10897	stray,unknown	domin·ic·a
biomedical	10903	stray,unknown	bio·m·ed·ical
ops	11080	stray	op·s
auditorium	11166	stray,unknown	aud·itor·i·um
discourse	11224	stray	dis·cours·e
credibility	11243	stray,unknown	cred·i·bi·l·ity
elective	11280	stray	e·lect·ive
lego	11348	stray,unknown	leg·o
visualization	11397	stray,unknown	vis·u·al·iz·ation
bounds	11458	stray	bound·s
credentials	11606	stray,unknown	cred·ent·i·al·s
nonetheless	11608	stray	non·e·the·less
diagnostics	11627	stray,unknown	dia·gnos·t·ic·s
bissau	11656	stray,lowconf,unknown	bi·s·s·au
comoros	11689	stray,unknown	co·mor·o·s
observatory	11691	stray	ob·serv·ator·y
metrics	11790	stray	metr·ic·s
inability	11793	stray,unknown	in·a·bi·l·ity
inevitable	11809	stray	in·e·vit·able
respects	11842	stray	re·spect·s
defending	11852	stray,unknown	de·fen·d·ing
marley	11910	stray,lowconf,unknown	mar·le·y
grooming	12117	stray,unknown	gro·o·min·g
oppose	12241	stray	op·pos·e
visually	12289	stray,unknown	vis·u·al·ly
limo	12294	stray,unknown	lim·o
aligned	12297	stray,unknown	a·lig·n·ed
fluorescent	12336	stray,unknown	flu·or·es·c·ent
differentiation	12347	stray,unknown	dif·fer·ent·i·ation
inspire	12413	stray	in·spir·e
informatics	12431	stray,unknown	in·form·at·ic·s
maternal	12451	stray,unknown	mater·n·al
influential	12483	stray,unknown	in·flu·ent·i·al
discography	12586	stray	dis·co·graph·y
proficiency	12632	stray,unknown	pro·fic·i·ency
accompany	12720	stray	ac·com·pan·y
fencing	12738	stray,unknown	fen·c·ing
collegiate	12774	stray,unknown	col·leg·i·ate
interoperability	12797	stray,unknown	inter·oper·a·bi·l·ity
symmetry	12917	stray	sym·metr·y
minors	13044	stray	min·or·s
sequential	13088	stray,unknown	sequ·ent·i·al
contractual	13133	stray,unknown	con·tract·u·al
judging	13135	stray,unknown	jud·g·ing
dickinson	13279	stray,lowconf,unknown	dic·kin·s·on
impulse	13289	stray	im·puls·e
spectroscopy	13808	stray,lowconf,unknown	spect·ro·s·cop·y
manson	13960	stray,lowconf,unknown	man·s·on
