type	derived	base	relation
ation->ate	abbreviation	abbreviate	act of
ation->ate	abdication	abdicate	act of
ation->ate	aberration	aberrate	act of
ation->ate	ablactation	ablactate	act of
ation->ate	ablation	ablate	act of
ation->ate	abnegation	abnegate	act of
ation->ate	abomination	abominate	act of
ation->ate	abrogation	abrogate	act of
ation->ate	acceleration	accelerate	act of
ation->ate	accentuation	accentuate	act of
ation->ate	acclimation	acclimate	act of
ation->ate	accommodation	accommodate	act of
ation->ate	acculturation	acculturate	act of
ation->ate	accumulation	accumulate	act of
ation->ate	acetylation	acetylate	act of
ation->ate	activation	activate	act of
ation->ate	actuation	actuate	act of
ation->ate	adjudication	adjudicate	act of
ation->ate	administration	administrate	act of
ation->ate	adulation	adulate	act of
ation->ate	adulteration	adulterate	act of
ation->ate	adumbration	adumbrate	act of
ation->ate	aeration	aerate	act of
ation->ate	aestivation	aestivate	act of
ation->ate	affiliation	affiliate	act of
ation->ate	affrication	affricate	act of
ation->ate	agglomeration	agglomerate	act of
ation->ate	agglutination	agglutinate	act of
ation->ate	aggravation	aggravate	act of
ation->ate	aggregation	aggregate	act of
ation->ate	agitation	agitate	act of
ation->ate	agnation	agnate	act of
ation->ate	alienation	alienate	act of
ation->ate	alleviation	alleviate	act of
ation->ate	alliteration	alliterate	act of
ation->ate	allocation	allocate	act of
ation->ate	altercation	altercate	act of
ation->ate	alternation	alternate	act of
ation->ate	amalgamation	amalgamate	act of
ation->ate	ambulation	ambulate	act of
ation->ate	amelioration	ameliorate	act of
ation->ate	amputation	amputate	act of
ation->ate	angulation	angulate	act of
ation->ate	animation	animate	act of
ation->ate	annihilation	annihilate	act of
ation->ate	annotation	annotate	act of
ation->ate	annunciation	annunciate	act of
ation->ate	anticipation	anticipate	act of
ation->ate	appellation	appellate	act of
ation->ate	appreciation	appreciate	act of
ation->ate	approbation	approbate	act of
ation->ate	appropriation	appropriate	act of
ation->ate	approximation	approximate	act of
ation->ate	arbitration	arbitrate	act of
ation->ate	arrogation	arrogate	act of
ation->ate	articulation	articulate	act of
ation->ate	asphyxiation	asphyxiate	act of
ation->ate	aspiration	aspirate	act of
ation->ate	assassination	assassinate	act of
ation->ate	asseveration	asseverate	act of
ation->ate	assibilation	assibilate	act of
ation->ate	assimilation	assimilate	act of
ation->ate	association	associate	act of
ation->ate	attenuation	attenuate	act of
ation->ate	auscultation	auscultate	act of
ation->ate	authentication	authenticate	act of
ation->ate	automation	automate	act of
ation->ate	aviation	aviate	act of
ation->ate	beneficiation	beneficiate	act of
ation->ate	bifurcation	bifurcate	act of
ation->ate	bombilation	bombilate	act of
ation->ate	bombination	bombinate	act of
ation->ate	brachiation	brachiate	act of
ation->ate	cachinnation	cachinnate	act of
ation->ate	calculation	calculate	act of
ation->ate	calibration	calibrate	act of
ation->ate	calumniation	calumniate	act of
ation->ate	cancellation	cancellate	act of
ation->ate	cannulation	cannulate	act of
ation->ate	cantillation	cantillate	act of
ation->ate	canulation	canulate	act of
ation->ate	capitation	capitate	act of
ation->ate	capitulation	capitulate	act of
ation->ate	captivation	captivate	act of
ation->ate	carbonation	carbonate	act of
ation->ate	castigation	castigate	act of
ation->ate	castration	castrate	act of
ation->ate	celebration	celebrate	act of
ation->ate	centrifugation	centrifugate	act of
ation->ate	cerebration	cerebrate	act of
ation->ate	chelation	chelate	act of
ation->ate	chlorination	chlorinate	act of
ation->ate	circulation	circulate	act of
ation->ate	circumnavigation	circumnavigate	act of
ation->ate	coagulation	coagulate	act of
ation->ate	coarctation	coarctate	act of
ation->ate	coeducation	coeducate	act of
ation->ate	cogitation	cogitate	act of
ation->ate	cognation	cognate	act of
ation->ate	collaboration	collaborate	act of
ation->ate	collation	collate	act of
ation->ate	colligation	colligate	act of
ation->ate	collimation	collimate	act of
ation->ate	collocation	collocate	act of
ation->ate	commemoration	commemorate	act of
ation->ate	commination	comminate	act of
ation->ate	commiseration	commiserate	act of
ation->ate	communication	communicate	act of
ation->ate	commutation	commutate	act of
ation->ate	compensation	compensate	act of
ation->ate	complication	complicate	act of
ation->ate	concatenation	concatenate	act of
ation->ate	concentration	concentrate	act of
ation->ate	conciliation	conciliate	act of
ation->ate	condensation	condensate	act of
ation->ate	confabulation	confabulate	act of
ation->ate	confederation	confederate	act of
ation->ate	confiscation	confiscate	act of
ation->ate	conflagration	conflagrate	act of
ation->ate	conglobation	conglobate	act of
ation->ate	conglomeration	conglomerate	act of
ation->ate	conglutination	conglutinate	act of
ation->ate	congratulation	congratulate	act of
ation->ate	congregation	congregate	act of
ation->ate	conjugation	conjugate	act of
ation->ate	consecration	consecrate	act of
ation->ate	consideration	considerate	act of
ation->ate	consolidation	consolidate	act of
ation->ate	constellation	constellate	act of
ation->ate	consternation	consternate	act of
ation->ate	constipation	constipate	act of
ation->ate	consubstantiation	consubstantiate	act of
ation->ate	consummation	consummate	act of
ation->ate	contamination	contaminate	act of
ation->ate	contemplation	contemplate	act of
ation->ate	contraindication	contraindicate	act of
ation->ate	cooperation	cooperate	act of
ation->ate	coordination	coordinate	act of
ation->ate	copulation	copulate	act of
ation->ate	coronation	coronate	act of
ation->ate	corporation	corporate	act of
ation->ate	correlation	correlate	act of
ation->ate	corroboration	corroborate	act of
ation->ate	corrugation	corrugate	act of
ation->ate	coruscation	coruscate	act of
ation->ate	creation	create	act of
ation->ate	cremation	cremate	act of
ation->ate	crenation	crenate	act of
ation->ate	crenelation	crenelate	act of
ation->ate	crenellation	crenellate	act of
ation->ate	crepitation	crepitate	act of
ation->ate	culmination	culminate	act of
ation->ate	cultivation	cultivate	act of
ation->ate	cumulation	cumulate	act of
ation->ate	cuspidation	cuspidate	act of
ation->ate	cybernation	cybernate	act of
ation->ate	deactivation	deactivate	act of
ation->ate	deamination	deaminate	act of
ation->ate	debilitation	debilitate	act of
ation->ate	decapitation	decapitate	act of
ation->ate	decarboxylation	decarboxylate	act of
ation->ate	deceleration	decelerate	act of
ation->ate	decimation	decimate	act of
ation->ate	decontamination	decontaminate	act of
ation->ate	decoration	decorate	act of
ation->ate	decortication	decorticate	act of
ation->ate	decrepitation	decrepitate	act of
ation->ate	decussation	decussate	act of
ation->ate	dedication	dedicate	act of
ation->ate	dedifferentiation	dedifferentiate	act of
ation->ate	defalcation	defalcate	act of
ation->ate	defecation	defecate	act of
ation->ate	defenestration	defenestrate	act of
ation->ate	defibrillation	defibrillate	act of
ation->ate	deflagration	deflagrate	act of
ation->ate	deflation	deflate	act of
ation->ate	defoliation	defoliate	act of
ation->ate	degeneration	degenerate	act of
ation->ate	dehydration	dehydrate	act of
ation->ate	delegation	delegate	act of
ation->ate	deliberation	deliberate	act of
ation->ate	delimitation	delimitate	act of
ation->ate	delineation	delineate	act of
ation->ate	demarcation	demarcate	act of
ation->ate	demodulation	demodulate	act of
ation->ate	demonstration	demonstrate	act of
ation->ate	demyelination	demyelinate	act of
ation->ate	denigration	denigrate	act of
ation->ate	denomination	denominate	act of
ation->ate	denudation	denudate	act of
ation->ate	depilation	depilate	act of
ation->ate	depopulation	depopulate	act of
ation->ate	deprecation	deprecate	act of
ation->ate	depreciation	depreciate	act of
ation->ate	deracination	deracinate	act of
ation->ate	deregulation	deregulate	act of
ation->ate	derogation	derogate	act of
ation->ate	desalination	desalinate	act of
ation->ate	desecration	desecrate	act of
ation->ate	desegregation	desegregate	act of
ation->ate	desiccation	desiccate	act of
ation->ate	designation	designate	act of
ation->ate	desolation	desolate	act of
ation->ate	desperation	desperate	act of
ation->ate	desquamation	desquamate	act of
ation->ate	deterioration	deteriorate	act of
ation->ate	determination	determinate	act of
ation->ate	detonation	detonate	act of
ation->ate	devaluation	devaluate	act of
ation->ate	devastation	devastate	act of
ation->ate	deviation	deviate	act of
ation->ate	dictation	dictate	act of
ation->ate	differentiation	differentiate	act of
ation->ate	dilapidation	dilapidate	act of
ation->ate	dilation	dilate	act of
ation->ate	disambiguation	disambiguate	act of
ation->ate	disassociation	disassociate	act of
ation->ate	discombobulation	discombobulate	act of
ation->ate	discrimination	discriminate	act of
ation->ate	disintegration	disintegrate	act of
ation->ate	dislocation	dislocate	act of
ation->ate	disorientation	disorientate	act of
ation->ate	dissemination	disseminate	act of
ation->ate	dissertation	dissertate	act of
ation->ate	dissimilation	dissimilate	act of
ation->ate	dissimulation	dissimulate	act of
ation->ate	dissipation	dissipate	act of
ation->ate	dissociation	dissociate	act of
ation->ate	distillation	distillate	act of
ation->ate	divagation	divagate	act of
ation->ate	divarication	divaricate	act of
ation->ate	domestication	domesticate	act of
ation->ate	domiciliation	domiciliate	act of
ation->ate	domination	dominate	act of
ation->ate	donation	donate	act of
ation->ate	duplication	duplicate	act of
ation->ate	education	educate	act of
ation->ate	effectuation	effectuate	act of
ation->ate	ejaculation	ejaculate	act of
ation->ate	elaboration	elaborate	act of
ation->ate	elevation	elevate	act of
ation->ate	elimination	eliminate	act of
ation->ate	elongation	elongate	act of
ation->ate	elucidation	elucidate	act of
ation->ate	emaciation	emaciate	act of
ation->ate	emanation	emanate	act of
ation->ate	emancipation	emancipate	act of
ation->ate	emasculation	emasculate	act of
ation->ate	embrocation	embrocate	act of
ation->ate	emigration	emigrate	act of
ation->ate	emulation	emulate	act of
ation->ate	encapsulation	encapsulate	act of
ation->ate	enervation	enervate	act of
ation->ate	enucleation	enucleate	act of
ation->ate	enumeration	enumerate	act of
ation->ate	enunciation	enunciate	act of
ation->ate	epilation	epilate	act of
ation->ate	equation	equate	act of
ation->ate	equilibration	equilibrate	act of
ation->ate	equivocation	equivocate	act of
ation->ate	eradication	eradicate	act of
ation->ate	escalation	escalate	act of
ation->ate	estimation	estimate	act of
ation->ate	estivation	estivate	act of
ation->ate	etiolation	etiolate	act of
ation->ate	evacuation	evacuate	act of
ation->ate	evaluation	evaluate	act of
ation->ate	evaporation	evaporate	act of
ation->ate	evisceration	eviscerate	act of
ation->ate	exacerbation	exacerbate	act of
ation->ate	exaggeration	exaggerate	act of
ation->ate	exasperation	exasperate	act of
ation->ate	excavation	excavate	act of
ation->ate	excogitation	excogitate	act of
ation->ate	excommunication	excommunicate	act of
ation->ate	excoriation	excoriate	act of
ation->ate	excruciation	excruciate	act of
ation->ate	exculpation	exculpate	act of
ation->ate	execration	execrate	act of
ation->ate	exenteration	exenterate	act of
ation->ate	exfoliation	exfoliate	act of
ation->ate	exhilaration	exhilarate	act of
ation->ate	exoneration	exonerate	act of
ation->ate	expatiation	expatiate	act of
ation->ate	expatriation	expatriate	act of
ation->ate	expectoration	expectorate	act of
ation->ate	expiation	expiate	act of
ation->ate	explication	explicate	act of
ation->ate	expostulation	expostulate	act of
ation->ate	expropriation	expropriate	act of
ation->ate	expurgation	expurgate	act of
ation->ate	extenuation	extenuate	act of
ation->ate	extermination	exterminate	act of
ation->ate	extirpation	extirpate	act of
ation->ate	extrapolation	extrapolate	act of
ation->ate	extravasation	extravasate	act of
ation->ate	extrication	extricate	act of
ation->ate	exudation	exudate	act of
ation->ate	fabrication	fabricate	act of
ation->ate	facilitation	facilitate	act of
ation->ate	fascination	fascinate	act of
ation->ate	fecundation	fecundate	act of
ation->ate	federation	federate	act of
ation->ate	felicitation	felicitate	act of
ation->ate	fellation	fellate	act of
ation->ate	festination	festinate	act of
ation->ate	fibrillation	fibrillate	act of
ation->ate	filiation	filiate	act of
ation->ate	filtration	filtrate	act of
ation->ate	fixation	fixate	act of
ation->ate	flagellation	flagellate	act of
ation->ate	flocculation	flocculate	act of
ation->ate	fluctuation	fluctuate	act of
ation->ate	fluoridation	fluoridate	act of
ation->ate	foliation	foliate	act of
ation->ate	formication	formicate	act of
ation->ate	formulation	formulate	act of
ation->ate	fornication	fornicate	act of
ation->ate	fractionation	fractionate	act of
ation->ate	frustration	frustrate	act of
ation->ate	fulmination	fulminate	act of
ation->ate	fumigation	fumigate	act of
ation->ate	furcation	furcate	act of
ation->ate	gemination	geminate	act of
ation->ate	generation	generate	act of
ation->ate	germination	germinate	act of
ation->ate	gestation	gestate	act of
ation->ate	gesticulation	gesticulate	act of
ation->ate	glaciation	glaciate	act of
ation->ate	gradation	gradate	act of
