type	singular	plural
a->ae	aranea	araneae
a->ae	canna	cannae
a->ae	cestida	cestidae
a->ae	ephemerida	ephemeridae
a->ae	hepatica	hepaticae
a->ae	menura	menurae
a->ae	phasmida	phasmidae
a->ae	rosacea	rosaceae
ex->ices	auspex	auspices
is->es	analysis	analyses
is->es	crisis	crises
is->es	diagnosis	diagnoses
is->es	gerris	gerres
is->es	hypothesis	hypotheses
is->es	neurosis	neuroses
is->es	parenthesis	parentheses
is->es	psychosis	psychoses
is->es	thesis	theses
is->es	tympanitis	tympanites
ma->mata	squama	squamata
ma->mata	stigma	stigmata
on->a	andiron	andira
on->a	antlion	antlia
on->a	balaton	balata
on->a	calderon	caldera
on->a	chinchillon	chinchilla
on->a	dipteron	diptera
on->a	electron	electra
on->a	ephemeron	ephemera
on->a	hemipteron	hemiptera
on->a	hymenopteron	hymenoptera
on->a	lepidopteron	lepidoptera
on->a	marathon	maratha
on->a	moneron	monera
on->a	neuropteron	neuroptera
on->a	orthopteron	orthoptera
on->a	papillon	papilla
on->a	pogonion	pogonia
on->a	protozoon	protozoa
on->a	serration	serratia
on->a	silicon	silica
on->a	thysanopteron	thysanoptera
on->a	thysanuron	thysanura
on->a	trichopteron	trichoptera
um->a	actinium	actinia
um->a	agendum	agenda
um->a	aluminum	alumina
um->a	ammonium	ammonia
um->a	archaebacterium	archaebacteria
um->a	bacterium	bacteria
um->a	californium	california
um->a	candelabrum	candelabra
um->a	cardium	cardia
um->a	cinerarium	cineraria
um->a	clostridium	clostridia
um->a	coccidium	coccidia
um->a	columbium	columbia
um->a	corneum	cornea
um->a	corrigendum	corrigenda
um->a	curium	curia
um->a	cypripedium	cypripedia
um->a	electrum	electra
um->a	epicardium	epicardia
um->a	eubacterium	eubacteria
um->a	euphorbium	euphorbia
um->a	gallium	gallia
um->a	halobacterium	halobacteria
um->a	hypochondrium	hypochondria
um->a	indium	india
um->a	ischium	ischia
um->a	lamium	lamia
um->a	lycium	lycia
um->a	magnesium	magnesia
um->a	mahabharatum	mahabharata
um->a	memorandum	memoranda
um->a	molluscum	mollusca
um->a	mycobacterium	mycobacteria
um->a	myxobacterium	myxobacteria
um->a	nitrobacterium	nitrobacteria
um->a	paramecium	paramecia
um->a	pretorium	pretoria
um->a	pythium	pythia
um->a	samarium	samaria
um->a	scholium	scholia
um->a	spirillum	spirilla
um->a	sternum	sterna
um->a	synovium	synovia
um->a	tantrum	tantra
um->a	titanium	titania
um->a	trivium	trivia
um->a	uranium	urania
um->a	vaccinium	vaccinia
um->a	vaccinum	vaccina
um->a	zirconium	zirconia
us->i	alumnus	alumni
us->i	bacillus	bacilli
us->i	cactus	cacti
us->i	charadrius	charadrii
us->i	cincinnatus	cincinnati
us->i	coccus	cocci
us->i	focus	foci
us->i	fungus	fungi
us->i	larus	lari
us->i	lotus	loti
us->i	magus	magi
us->i	malus	mali
us->i	minus	mini
us->i	nervus	nervi
us->i	nisus	nisi
us->i	nucleus	nuclei
us->i	radius	radii
us->i	staphylococcus	staphylococci
us->i	stimulus	stimuli
us->i	streptococcus	streptococci
us->i	syllabus	syllabi
us->i	taxus	taxi
us->i	terminus	termini
us->i	titus	titi
us->i	tyrannus	tyranni
