word	mech	qwen	gloss
backmost	established	established	farthest back
chaqu	established	established	A form of Chinese opera.
Disneylandification	established	established	The process of making or turning into something resembling Disneyland; homogeniz
gastroenterology	established	established	The study of the digestive system, from the mouth to the anus, which may also in
intranet	established	established	A private computer network, typically one that uses the protocols of the Interne
maknae	established	established	The youngest member of an idol group.
outwile	established	established	To surpass in wile or cunning.
ragi	established	established	A grain, of species Eleusine coracana, cultivated as a cereal in arid areas of A
sordid	established	established	Distasteful, ignoble, vile, or contemptible.
Truck-kun	established	coinage	In the isekai genre, a truck that sets off the plot by hitting the protagonist, 
acquaintedness	established	established	State of being acquainted; degree of acquaintance.
antitumor	established	established	Inhibiting the development of a tumor.
bursar	established	established	The treasurer of a university, college or school.
cyclicity	established	established	The state of recurring at regular intervals; of being cyclic.
fatshit	established	established	a contemptible fat person
hijama	established	established	wet cupping
leatherhead	established	established	A city watchman who wore a leather helmet.
neocritical	established	established	Relating to neocriticism.
powwow	established	established	A ritual conducted by a Native American shaman.
senior	established	established	Older.
tenacious	established	established	Clinging to an object or surface; adhesive.
washable	established	established	Capable of being washed without being damaged; especially by a specified method,
apotemnophilic	established	established	Of or pertaining to apotemnophilia.
caryopsis	established	established	A type of fruit in which the fruit skin is stuck to the seed coat; especially th
desipramine	established	established	A tricyclic antidepressant C₁₈H₂₂N₂.
fluoroboride	established	established	a salt of fluoroboric acid
hyperlipoidemia	established	established	An abnormally high level of lipoids in the blood.
low-IQ	established	established	Of a person, stupid and unintelligent.
numididae	established	established	guinea fowl and related birds of Africa and Madagascar
provisioner	established	established	One who supplies provisions.
shiko	established	established	One of the basic sumo exercises, in which the rikishi raises a leg high in the a
Thirdonia	established	coinage	In geopolitical and international economic modeling, a hypothetical neutral Thir
witnesser	established	established	One who witnesses.
bibliopolism	established	established	bookselling
cordon	established	established	A line of people or things placed around an area to enclose or protect it.
embower	established	established	To enclose something or someone as if in a bower; shelter with foliage.
grubbery	established	established	A basic restaurant or cookshop.
kavadi	established	established	An arched wooden structure carried on the shoulders by Malaysian Hindus as a for
monogyny	established	established	The practice of having one wife at a time.
perseverate	established	established	To persist in doing something; to continue to repeat an action after the origina
break the deadlock	phrase	phrase	To score the first goal or point in a competition.
do a slow burn	phrase	phrase	To experience a gradually increasing feeling of anger or frustration; to slowly 
green frog	phrase	established	A frog of eastern North America, Lithobates clamitans.
like a boss	phrase	phrase	Skillfully, confidently.
pacta sunt servanda	phrase	established	Agreements must be kept.
separative error	phrase	established	An error indicating that one manuscript has not been copied from another.
trip to the woodshed	phrase	phrase	An occasion on which a reprimand or punishment is administered privately.
algebraic function	phrase	established	Informally, any function expressible using (only) the operations of addition, su
battered sav	phrase	established	A men's gymnastic move where the gymnast leaps into the air, landing in a push-u
concealed ovulation	phrase	established	A form of ovulation, in certain species, where the female shows no perceptible s
front matter	phrase	established	Within a book, all preliminary content preceding the main text.
Jack County	phrase	name	One of 254 counties in Texas, United States. County seat: Jacksboro.
new normal	phrase	established	A current prevailing situation which has emerged recently, that differs dramatic
reception room	phrase	established	A room for receiving and entertaining guests or clients.
sugar and spice and everything nice	phrase	phrase	Describing a person who is kind, friendly, pleasant, and generally good-natured.
Your Serene Highness	phrase	established	A term of address used in addressing a personage of any of a variety of certain 
big bang	phrase	established	a physical theory that describes how the universe expanded from an infinitely sm
cultural appropriator	phrase	established	One who engages in cultural appropriation.
genre film	phrase	established	A film that was produced with the intent of strictly adhering to a specific genr
kiss, cuddle or torture	phrase	coinage	A form of the game of kiss chase.
obiter scriptum	phrase	established	A smaller piece, written during the process of writing a larger piece, which is 
round ship	phrase	established	A superclass of wooden sailing ship type with a length-to-beam ratio of roughly 
Teichmüller-Tukey lemma	phrase	established	A lemma stating that every non-empty collection of finite character has a maxima
choice theory	phrase	established	Any of various models of group behavior (such as economic behavior, criminal beh
external risk	phrase	established	A peril or event that arises from outside the policyholder's control and typical
horse and cart	phrase	phrase	A cart, pulled by a horse and driven by a driver, used for transporting goods.
McCulloch County	phrase	name	One of 254 counties in Texas, United States. County seat: Brady.
poling around	phrase	phrase	pole dancing
soak in	phrase	phrase	To wet a surface and be absorbed completely (of a liquid)
Waldenström's macroglobulinemia	phrase	established	Lymphoplasmacytic lymphoma, a cancer affecting B cells.
autumn romance	phrase	phrase	A romantic relationship which occurs in a later stage of life.
all to	phrase	phrase	completely, totally.
batting average	phrase	established	A statistical estimation of the scoring ability of a batsman, equal to the total
Burkwood viburnum	phrase	established	Viburnum × burkwoodii, a hybrid flowering plant that is a cross between V. carle
Dukes County	phrase	name	One of 14 counties in Massachusetts, United States. County seat: Edgartown. It i
have the law of	phrase	established	To take legal action against someone.
long-tongued bat	phrase	established	Any leaf-nosed bat of the genus Glossophaga.
Phrygian mode	phrase	established	A mode whose scale is the same as a minor key with the second scale degree lower
singles bar	phrase	established	A bar or similar establishment for unattached people to meet.
under the table	phrase	phrase	Secret; covert; undisclosed.
myxomycetes	inflection	established	plural of myxomycete
baseboarding	inflection	established	baseboard
electrize	inflection	established	To supply electricity to; to charge with electricity.
handmaiden	inflection	established	Alternative form of handmaid.
slaked	inflection	established	Allayed; quenched; extinguished.
dedicated	inflection	established	Devoted; loyal; conscientious.
beheading	inflection	established	present participle and gerund of behead
democratise	inflection	inflection	Non-Oxford British English standard spelling of democratize.
preserved	inflection	inflection	simple past and past participle of preserve
graven	inflection	inflection	past participle of grave
partizan	inflection	established	Dated spelling of partisan.
accursed	inflection	established	Hateful; detestable, loathsome.
aerosolised	inflection	inflection	simple past and past participle of aerosolise
grandaunt	inflection	established	An aunt of one's parent (i.e. a sister or sister-in-law of one's grandparent).
unsmilingly	inflection	established	In an unsmiling way.
weighing	inflection	established	present participle and gerund of weigh
aphaeresis	inflection	inflection	Alternative spelling of apheresis.
anachronistically	inflection	established	In an anachronistic manner; in the manner of an anachronism.
unproductively	inflection	established	In an unproductive manner.
twatted	inflection	established	Extremely drunk, intoxicated
chigetai	inflection	inflection	Alternative form of dziggetai.
underneaths	inflection	established	genitalia
cursedly	inflection	established	In a cursed manner; miserably
spavined	inflection	established	Of a horse: having spavin (“a disease of horses caused by a bony swelling which 
swearing	inflection	established	present participle and gerund of swear
unarguably	inflection	established	Certainly; without the possibility of argument or debate.
acoustically	inflection	established	In an acoustic manner, or using an acoustic musical instrument.
ectozoan	inflection	established	An epizoon.
canulation	inflection	established	Alternative form of cannulation.
atheneum	inflection	inflection	Alternative form of athenaeum.
sumach	inflection	inflection	Alternative spelling of sumac.
fl	inflection	established	Alignment of the text aligned along the left margin or gutter.
explosively	inflection	established	In an explosive manner.
snatched	inflection	established	Having a narrow waist.
descriptively	inflection	established	In a descriptive manner.
biologist	inflection	established	A student or professor of biology; one versed in the science of biology.
filet	inflection	inflection	Alternative spelling of fillet.
indulgently	inflection	established	In an indulgent manner.
mathwashing	inflection	coinage	Using data and algorithms to create the false impression that a subjective decis
bermudas	inflection	established	a group of islands in the Atlantic off the Carolina coast;  British colony;  a p
Kongu Nadu	name	name	the region comprising the western districts of Tamil Nadu, India
Balcerzak	name	name	A surname from Polish.
DiPaola	name	name	A surname from Italian.
Sharad	name	name	A male given name from Sanskrit used in India.
Giangrande	name	name	A surname from Italian.
Trysta	name	name	A female given name.
Oceguera	name	name	A surname from Spanish.
Clipperton Island	name	name	An island of France in the Pacific Ocean.
Baral	name	name	A surname from Bengali.
Concepción de Ataco	name	name	A town in San Salvador department, El Salvador.
Marinaccio	name	name	A surname from Italian.
Gass	name	name	A surname from German.
Thitu Island	name	name	An island in the Spratly Islands in the South China Sea, administered as part of
Leick	name	name	A surname from German.
Achill	name	name	An island in County Mayo, the largest of the Irish isles.
Ahlgren	name	name	A surname from Swedish.
Gagan	name	name	A male given name from Sanskrit used in India.
Tlaxiaco	name	name	A city in Oaxaca, Mexico.
Rosse	name	name	A surname from German.
Savary	name	name	A surname from French.
Antras	name	name	A village in Ariège department, Occitania, France.
American Canyon	name	name	A city in Napa County, California, United States.
Rituraj	name	name	A male given name from Sanskrit used in India.
Rann	name	name	A surname from German.
Bruzzese	name	name	A surname from Italian.
Rosello	name	name	A surname from Catalan.
Chiharu	name	name	A female given name from Japanese
Ostberg	name	name	A surname from Swedish.
Piccoli	name	name	A surname from Italian.
Richter	name	name	A surname from German.
Acajutla	name	name	A town in Sonsonate department, El Salvador.
Dilger	name	name	A surname from German.
Shingaki	name	name	A surname from Japanese.
Booms	name	name	A surname.
Aristy	name	name	A surname from Spanish [in turn from Basque].
Pervez	name	name	A male given name.
Faucheux	name	name	A surname from French.
Stoica	name	name	A surname from Romanian.
East Troy	name	name	A village in the town of Troy, Waldo County, Maine.
Sochaczew	name	name	A town in Masovian Voivodeship, Poland.
hetfic	coinage	coinage	A fanfic based on fictional characters or celebrities involved in an opposite-se
mousesona	coinage	coinage	A fursona that is a mouse
coursecest	coinage	coinage	A sexual or romantic relationship between coursemates.
Bieberism	coinage	coinage	The fandom of Justin Bieber.
dolphinsona	coinage	coinage	A fursona that is a dolphin.
SMOF	coinage	coinage	One influential in science fiction fandom; one who organises a convention, publi
jokefic	coinage	coinage	A fanfic intended to be humorous or absurd.
beaversona	coinage	coinage	A fursona that is a beaver.
bullsona	coinage	coinage	A fursona that is a bull.
classcest	coinage	coinage	A sexual or romantic relationship between classmates.
bifictional	coinage	coinage	Interested in the two predominant genres of fan fiction within a specific fandom
WKF	coinage	coinage	A famous member of fandom; a celebrity fan.
babyfic	coinage	coinage	A fanfic which focuses on one or more characters welcoming and/or caring for a b
foxsona	coinage	coinage	A fursona that is a fox.
fandomite	coinage	coinage	A member of a fandom.
multiship	coinage	coinage	To ship multiple pairings in the same fandom, especially ones featuring the same
Trekfic	coinage	coinage	A fanfic based on the Star Trek television series and films.
teamcest	coinage	coinage	A sexual or romantic relationship between teammates.
Frerard	coinage	coinage	The real-person pairing of singer Gerard Way and guitarist Frank Iero, both of A
smof	coinage	coinage	To discuss fandom; to organise or direct fandom; to act in the manner of a SMOF.
cowsona	coinage	coinage	A fursona that is a cow.
ducksona	coinage	coinage	A fursona that is a duck.
wrock	coinage	coinage	A genre of music produced by fans of the Harry Potter series, characterized by c
leopardsona	coinage	coinage	A fursona that is a leopard.
sillyfic	coinage	coinage	A fanfic intended to be humorous or absurd.
songvid	coinage	coinage	A fanmade video made of third-party clips with a song as the audiotrack.
Hamilfan	coinage	coinage	A fan of the musical Hamilton.
batsona	coinage	coinage	A fursona that is a bat.
fafiation	coinage	coinage	The act of fafiating; exiting involvement in fandom due to other obligations.
fringefan	coinage	coinage	A science fiction fan primarily interested in a specific subset of fandom; a par
catsona	coinage	coinage	An original character, such as a fursona, that is a cat or other feline.
badgersona	coinage	coinage	A fursona that is a badger.
lynxsona	coinage	coinage	A fursona that is a lynx.
pigsona	coinage	coinage	A fursona that is a pig.
goofur	coinage	coinage	A furry, usually a fursona made from goo.
Snapeism	coinage	coinage	A new religious movement, emerging in the mid-2000s in online Harry Potter fando
fanilect	coinage	coinage	The lect of a fandom, including in-group slang, phrases, and expressions.
Superwholock	coinage	coinage	An amalgamate fandom of the television series Supernatural, Doctor Who, and Sher
skunksona	coinage	coinage	A fursona that is a skunk.
gafiation	coinage	coinage	The act of gafiating; a beginning or end of involvement in fandom.
