word	ipa	rs	extra_consonants	ipa_derived_resp
abruptly	/əˈbɹʌp.li/	uh-BRUHPT-lee	t	uh-BRUHP-lee
abruptness	/əˈbɹʌp.nəs/	uh-BRUHPT-nuhs	t	uh-BRUHP-nuhs
abstention	/æbˈstɛn.ʃn̩/	uhb-STEHN-chuhn	ch	ab-STEHN-shuhn
accursed	/əˈkɝ.sɪd/	a-KURST	t	uh-KUR-sid
actual	/ˈækʃuəl/	AK-chuh-wuhl	ch,w	akshoouhl
actuarial	/æk.tjuˈɛəɹ.i.əl/	ak-choo-EH-ree-uhl	ch	ak-tyoo-EHUHR-ee-uhl
acts	/æks/	akts	t	aks
actuator	/ˈæk.t͡ʃu.eɪ.tɚ/	AKT-yoo-ay-tur	t	AK-choo-ay-tur
actualize	/ˈæktju.əlaɪz/	AK-choo-uh-lyz	ch	AKTYOO-uhlyz
adagio	/əˈdɑːd͡ʒiəʊ/	uh-DAH-zhee-oh	sh	uh-DAHJEEOH
adornment	/əˈdɔːnm(ə)nt/	uh-DAWRN-muhnt	r	uh-DAWNMUHNT
aeronautics	/ˌɛɚ.oʊˈnɔ.tɪks/	eh-ruh-NAW-tiks	r	ehur-oh-NAW-tiks
aerosol	/ˈɛɚ.əˌsɔl/	EH-ruh-sahl	r	EHUR-uh-sawl
afire	/əˈfaɪɚ/	uh-FYR	r	uh-FYUR
agoraphobia	/ˌæɡ.ɚ.əˈfoʊ.bi.ə/	uh-gaw-ruh-FOH-bee-uh	r	ag-ur-uh-FOH-bee-uh
airworthy	/ˈɛːˌwəː.ði/	EHR-wur-thee	r	EH-wuh-thee
air	/ˈɛɚ/	ehr	r	ehur
aircraft	/ˈɛɚ.kɹæft/	EHR-kraft	r	EHUR-kraft
airlift	/ˈɛə.lɪft/	EHR-lift	r	EHUH-lift
airmail	/ˈɛə.meɪl/	EHR-mayl	r	EHUH-mayl
airway	/ˈɛɚ.weɪ/	EHR-way	r	EHUR-way
airworthiness	/ɛː.wəː.ði.nɪs/	EHR-wur-thee-nuhs	r	eh-wuh-thee-nis
alar	/ˈeɪ.lɚ/	AY-lahr	r	AY-lur
always	/ˈɔləs/	AWL-wayz	w	awluhs
alchemist	/ˈæl.kə.mɪst/	AL-chuh-mist	ch	AL-kuh-mist
alexandrine	/ˌælɪkˈsændriːn/	a-luhg-ZAN-dreen	g	alik-SANDREEN
